rho,validation_sd,m,repetitions,omega2,omega_rmse,excess_mse,excess_mse_mcse,total_mse,total_rmse,floor_share,excess_to_floor,finite_atlas_mse,finite_atlas_mse_mcse,constraint_rate
0.44,3.0,320,2000,80.64,8.97997772825746,0.5793905900545502,0.013601949782423387,81.21939059005454,9.012180124146129,0.9928663514236526,0.007184903150478053,nan,nan,0.0
0.44,3.0,640,2000,80.64,8.97997772825746,0.2826103963051938,0.006096391899484824,80.92261039630519,8.995699550135342,0.9965076460717079,0.0035045932081497247,nan,nan,0.0
0.7,3.0,10,2000,51.0,7.14142842854285,15.12714249379104,0.44218328654300165,66.12714249379104,8.131859719264163,0.7712415519056884,0.2966106371331576,nan,nan,0.0185
0.7,3.0,20,2000,51.0,7.14142842854285,6.819623581303368,0.16596785845015466,57.81962358130337,7.6039215922643075,0.8820534766762375,0.13371810943732093,nan,nan,0.0005
0.7,3.0,40,2000,51.0,7.14142842854285,3.305333188125857,0.07701376745174593,54.30533318812586,7.369215235567887,0.9391342802984849,0.06481045466913446,nan,nan,0.0
0.7,3.0,80,2000,51.0,7.14142842854285,1.5396171049549958,0.03435767542118448,52.539617104955,7.248421697511466,0.9706960729866111,0.030188570685392074,nan,nan,0.0
0.7,3.0,160,2000,51.0,7.14142842854285,0.7228544884962732,0.015868630558018324,51.722854488496274,7.191860294005736,0.986024466444383,0.014173617421495553,nan,nan,0.0
0.7,3.0,320,2000,51.0,7.14142842854285,0.37410362944318687,0.008620693521083512,51.374103629443184,7.167573064116136,0.9927180504765288,0.007335365283199742,nan,nan,0.0
0.7,3.0,640,2000,51.0,7.14142842854285,0.1869389677506689,0.004134708418654542,51.18693896775067,7.154504802412999,0.9963479166459154,0.0036654699558954684,nan,nan,0.0
0.44,1.0,10,2000,80.64,8.97997772825746,18.523361664322735,0.4709107261099884,99.16336166432274,9.95808021981761,0.8132035728374554,0.22970438571828788,nan,nan,0.1315
0.44,1.0,20,2000,80.64,8.97997772825746,9.17712995693641,0.20727963151644188,89.81712995693641,9.47718998210632,0.897824279607504,0.11380369490248524,nan,nan,0.0295
0.44,1.0,40,2000,80.64,8.97997772825746,4.584804106842954,0.10841770667349236,85.22480410684295,9.231728121367253,0.9462034069201829,0.05685520965827076,nan,nan,0.0025
0.44,1.0,80,2000,80.64,8.97997772825746,2.1393669799749877,0.049075417531205465,82.779366979975,9.09831671134694,0.9741557943962953,0.026529848461991416,nan,nan,0.0
0.44,1.0,160,2000,80.64,8.97997772825746,1.0504830719639013,0.023640557123094368,81.6904830719639,9.038278767108475,0.9871406921288678,0.013026823809076157,nan,nan,0.0
0.44,1.0,320,2000,80.64,8.97997772825746,0.5332986323828129,0.01263818544774998,81.17329863238281,9.00962255770922,0.993430122449526,0.006613326294429724,nan,nan,0.0
0.44,1.0,640,2000,80.64,8.97997772825746,0.2571512359554421,0.0055087928247011505,80.89715123595545,8.994284364859466,0.9968212572133053,0.0031888794141299863,nan,nan,0.0
0.44,6.0,10,2000,80.64,8.97997772825746,24.88658285469469,0.5804028785006468,105.52658285469468,10.272613243702631,0.7641676421100229,0.30861337865444805,nan,nan,0.2655
0.44,6.0,20,2000,80.64,8.97997772825746,12.62782382403337,0.29067158468840765,93.26782382403337,9.657526796443973,0.8646068568313758,0.15659503750041381,nan,nan,0.0875
0.44,6.0,40,2000,80.64,8.97997772825746,6.388402066917318,0.14838429875916412,87.02840206691732,9.328901439447055,0.926594055329142,0.07922125579014531,nan,nan,0.016
0.44,6.0,80,2000,80.64,8.97997772825746,2.998584020094838,0.0675198982204845,83.63858402009483,9.145413277708931,0.9641483167699922,0.037184821677763366,nan,nan,0.0
0.44,6.0,160,2000,80.64,8.97997772825746,1.4376799108614677,0.031817937863340556,82.07767991086146,9.059673278372761,0.9824839114309417,0.01782837191048447,nan,nan,0.0
0.44,6.0,320,2000,80.64,8.97997772825746,0.7446732742150555,0.01707591505301331,81.38467327421506,9.021345424836312,0.9908499568253352,0.009234539610801779,nan,nan,0.0
0.44,6.0,640,2000,80.64,8.97997772825746,0.37039723678808334,0.008068190112711315,81.01039723678808,9.000577605731094,0.9954277815018555,0.004593219702233176,nan,nan,0.0
