scenario,scenario_label,estimand,estimand_label,estimator,procedure_label,n_attempts,n_returned,n_stable,n_unstable,n_unsupported,n_failure,mean_target,bias,bias_mcse,rmse,stable_bias,stable_bias_mcse,stable_rmse
blm_grouped_dgp,BLM types,h_f,$H_F$,project_plugin_bic,Project plug-in,100,100,85,15,0,0,2.0000000000000058,20.51652711316209,12.508152173321406,126.13429784594926,0.02611210280919907,0.003665161878002594,0.04254701501683891
blm_grouped_dgp,BLM types,rho_h,$\rho_H$,kss_he,KSS-HE,100,100,100,0,0,0,0.49999999989291166,-0.49999999989291166,5.774456945787806e-10,0.4999999998929118,-0.49999999989291166,5.774456945787806e-10,0.4999999998929118
blm_grouped_dgp,BLM types,rho_h,$\rho_H$,blm_estimated,BLM,100,100,100,0,0,0,0.49999999989291166,-0.004027735162894012,0.00248035595955655,0.025005740410295286,-0.004027735162894012,0.00248035595955655,0.025005740410295286
blm_grouped_dgp,BLM types,rho_h,$\rho_H$,project_plugin_bic,Project plug-in,100,100,85,15,0,0,0.49999999989291166,0.02208480604660633,0.008737374324677935,0.08969709001400655,0.002821807900897041,0.00045446630849205037,0.005031096140617256
blm_grouped_dgp,BLM types,c_assign,$C^w_{\mathrm{assign}}$,kss_he,KSS-HE,100,100,100,0,0,0,0.37284556044170103,0.02676489550192522,0.017685260508028825,0.1779899859983042,0.02676489550192522,0.017685260508028825,0.1779899859983042
blm_grouped_dgp,BLM types,c_assign,$C^w_{\mathrm{assign}}$,blm_estimated,BLM,100,100,100,0,0,0,0.37284556044170103,-0.0012628892094074984,0.0021671349611496115,0.021599671506740418,-0.0012628892094074984,0.0021671349611496115,0.021599671506740418
blm_grouped_dgp,BLM types,c_assign,$C^w_{\mathrm{assign}}$,project_plugin_bic,Project plug-in,100,100,85,15,0,0,0.37284556044170103,-7.2275881813312335,4.332837718012017,43.71284499195916,-0.006490639299606565,0.0013375553631545982,0.013871155823358846
low_rank_factor_dgp,Low-rank factors,q_f,$Q_F$,kss_he,KSS-HE,100,100,100,0,0,0,2.2499999998599693,-1.0924812442105571,0.0017684917950077437,1.0926229439799984,-1.0924812442105571,0.0017684917950077437,1.0926229439799984
low_rank_factor_dgp,Low-rank factors,q_f,$Q_F$,blm_estimated,BLM,100,100,100,0,0,0,2.2499999998599693,-1.026552592667,0.004278500250104289,1.0274349012886237,-1.026552592667,0.004278500250104289,1.0274349012886237
low_rank_factor_dgp,Low-rank factors,q_f,$Q_F$,project_plugin_bic,Project plug-in,100,100,93,7,0,0,2.2499999998599693,5.2668207269465155,2.607611840372797,26.47458615474436,0.016652627242262078,0.0004048854613274925,0.017099466654103914
